          1  3.55469e-01 -5.20481e+00  2.75568e+00
          2  3.32031e-01 -5.13730e+00  3.09267e+00
          3  3.51562e-01 -5.20182e+00  2.80770e+00
          4  2.81250e-01 -5.27810e+00  2.52673e+00
          5  3.59375e-01 -5.27016e+00  2.45028e+00
          6  3.78906e-01 -5.22129e+00  2.66482e+00
          7  3.59375e-01 -5.18381e+00  2.90080e+00
          8  3.00781e-01 -5.21808e+00  2.75020e+00
          9  3.08594e-01 -5.23153e+00  2.68635e+00
         10  3.39844e-01 -5.25969e+00  2.55502e+00
         11  3.55469e-01 -5.21694e+00  2.76522e+00
         12  3.43750e-01 -5.21023e+00  2.80674e+00
         13  3.08594e-01 -5.17453e+00  2.92751e+00
         14  3.35938e-01 -5.22090e+00  2.71061e+00
         15  3.67188e-01 -5.18170e+00  2.97882e+00
         16  3.59375e-01 -5.18196e+00  2.99530e+00
         17  2.96875e-01 -5.22097e+00  2.83015e+00
         18  3.12500e-01 -5.24052e+00  2.72457e+00
         19  3.71094e-01 -5.26412e+00  2.65650e+00
         20  3.08594e-01 -5.30490e+00  2.53823e+00
         21  3.67188e-01 -5.25396e+00  2.69940e+00
         22  3.67188e-01 -5.28866e+00  2.49054e+00
         23  3.82812e-01 -5.34116e+00  2.15633e+00
         24  3.28125e-01 -5.29537e+00  2.37792e+00
         25  3.82812e-01 -5.26658e+00  2.52475e+00
         26  3.51562e-01 -5.28551e+00  2.48132e+00
         27  3.32031e-01 -5.29976e+00  2.37293e+00
         28  2.96875e-01 -5.33566e+00  2.23959e+00
         29  3.20312e-01 -5.32116e+00  2.33544e+00
         30  3.67188e-01 -5.26527e+00  2.57945e+00
         31  3.20312e-01 -5.29948e+00  2.40903e+00
         32  3.28125e-01 -5.29233e+00  2.44218e+00
         33  3.98438e-01 -5.26092e+00  2.53515e+00
         34  3.47656e-01 -5.34141e+00  2.22015e+00
         35  2.85156e-01 -5.31724e+00  2.27879e+00
         36  3.86719e-01 -5.33101e+00  2.18147e+00
         37  3.51562e-01 -5.31204e+00  2.36458e+00
         38  3.51562e-01 -5.29699e+00  2.48455e+00
         39  3.59375e-01 -5.25649e+00  2.63572e+00
         40  3.78906e-01 -5.39222e+00  2.08362e+00
         41  3.71094e-01 -5.32947e+00  2.36266e+00
         42  3.47656e-01 -5.30071e+00  2.48127e+00
         43  3.16406e-01 -5.34435e+00  2.23250e+00
         44  3.94531e-01 -5.28113e+00  2.52656e+00
