        100  6.71484e-01 -6.11554e+00  2.43547e-02
        200  6.67578e-01 -6.00772e+00  4.05892e-01
        300  6.67188e-01 -6.05816e+00  2.29557e-01
        400  6.81641e-01 -6.10866e+00  3.32292e-03
        500  6.93359e-01 -6.13113e+00 -2.04679e-01
        600  6.72266e-01 -6.15417e+00 -1.22956e-01
        700  6.76953e-01 -6.17665e+00 -3.67550e-01
        800  6.73828e-01 -6.16381e+00 -3.13868e-01
        900  6.75391e-01 -6.08780e+00  1.41855e-01
       1000  6.74609e-01 -6.08654e+00  1.11310e-01
       1100  6.72656e-01 -6.22901e+00 -5.60923e-01
       1200  6.72656e-01 -6.13342e+00 -1.13007e-01
       1300  6.83203e-01 -6.08765e+00  1.15612e-01
       1400  6.59375e-01 -6.14570e+00 -1.35053e-01
       1500  6.69531e-01 -6.13339e+00 -1.37686e-01
       1600  6.77734e-01 -6.15545e+00 -1.26275e-01
       1700  6.78906e-01 -6.04304e+00  4.01633e-01
       1800  6.63281e-01 -6.09294e+00 -2.58293e-02
       1900  6.45312e-01 -6.01554e+00  5.75199e-01
       2000  6.66016e-01 -6.14342e+00 -7.58843e-02
       2100  6.91797e-01 -6.21178e+00 -4.32543e-01
       2200  6.71484e-01 -6.10898e+00  1.03473e-01
       2300  6.75781e-01 -6.19477e+00 -3.63008e-01
       2400  6.61719e-01 -6.06857e+00  2.21121e-01
       2500  6.77734e-01 -6.11066e+00  2.35430e-02
       2600  6.64062e-01 -6.04885e+00  3.66202e-01
       2700  6.79688e-01 -6.09971e+00  4.53204e-02
       2800  6.64453e-01 -6.06060e+00  1.28637e-01
       2900  6.48828e-01 -6.10962e+00  3.90753e-02
       3000  6.67188e-01 -6.06519e+00  1.77569e-01
       3100  7.02734e-01 -6.15172e+00 -2.92591e-01
       3200  6.69531e-01 -6.17962e+00 -3.69373e-01
       3300  6.82422e-01 -6.13879e+00 -1.67596e-01
       3400  6.88672e-01 -6.06181e+00  2.10265e-01
       3500  6.57422e-01 -6.10429e+00 -4.13111e-02
       3600  6.57031e-01 -6.17702e+00 -3.93627e-01
       3700  6.53906e-01 -6.10142e+00  2.01401e-01
       3800  6.69922e-01 -6.14272e+00 -3.65270e-02
       3900  6.59375e-01 -6.10371e+00  1.53400e-01
       4000  6.75391e-01 -6.10115e+00 -7.81335e-03
       4100  6.60937e-01 -6.15786e+00 -2.18736e-01
       4200  6.52344e-01 -6.11406e+00  5.03834e-02
       4300  6.66016e-01 -6.10525e+00  7.73232e-02
       4400  6.82422e-01 -6.13860e+00 -2.43827e-01
       4500  6.73828e-01 -6.22570e+00 -6.27239e-01
       4600  6.67969e-01 -6.12267e+00 -8.53695e-02
       4700  6.75391e-01 -6.11336e+00  6.28739e-02
       4800  6.78906e-01 -6.15031e+00 -1.84902e-01
       4900  6.66406e-01 -6.05429e+00  3.52506e-01
       5000  6.69922e-01 -6.13433e+00 -1.94913e-01
