        100  7.12109e-01 -6.36599e+00 -1.44349e+00
        200  6.78906e-01 -6.26757e+00 -8.73203e-01
        300  6.92578e-01 -6.36854e+00 -1.33601e+00
        400  6.97266e-01 -6.34941e+00 -1.33647e+00
        500  6.86719e-01 -6.24276e+00 -7.92057e-01
        600  6.81641e-01 -6.30304e+00 -9.41294e-01
        700  6.80078e-01 -6.21532e+00 -4.91545e-01
        800  6.71484e-01 -6.20096e+00 -4.72265e-01
        900  6.75391e-01 -6.09546e+00  1.03914e-01
       1000  6.73047e-01 -6.13828e+00 -7.15490e-02
       1100  6.89063e-01 -6.18113e+00 -3.55527e-01
       1200  6.72656e-01 -6.12745e+00 -1.63332e-01
       1300  6.59766e-01 -6.07675e+00  1.62306e-01
       1400  6.71094e-01 -6.10082e+00  1.10007e-01
       1500  6.68750e-01 -6.07171e+00  1.89681e-01
       1600  6.85547e-01 -6.13561e+00 -2.17460e-01
       1700  6.71875e-01 -6.15823e+00 -2.67054e-01
       1800  6.85156e-01 -6.06636e+00  1.48839e-01
       1900  6.79297e-01 -6.05049e+00  4.37947e-01
       2000  6.69922e-01 -6.09500e+00  4.04932e-02
       2100  6.61328e-01 -6.10705e+00  2.46921e-02
       2200  6.73047e-01 -6.04041e+00  4.69833e-01
       2300  6.78516e-01 -6.06920e+00  2.50675e-01
       2400  6.85547e-01 -6.18368e+00 -3.43387e-01
       2500  6.65234e-01 -6.08465e+00  2.03033e-01
       2600  6.63672e-01 -6.08908e+00  2.05492e-01
       2700  6.53906e-01 -6.09915e+00  8.79449e-02
       2800  6.80859e-01 -6.20532e+00 -4.74970e-01
       2900  6.58984e-01 -6.09819e+00  1.03657e-01
       3000  6.83594e-01 -6.02032e+00  4.75497e-01
       3100  6.85937e-01 -6.15377e+00 -2.03547e-01
       3200  6.87891e-01 -6.17714e+00 -2.45102e-01
       3300  6.71484e-01 -6.07073e+00  2.56754e-01
       3400  6.72656e-01 -6.14846e+00 -1.97760e-01
       3500  6.78906e-01 -6.13594e+00 -4.07416e-02
       3600  6.94922e-01 -6.18189e+00 -3.91776e-01
       3700  6.66797e-01 -6.11425e+00 -3.93607e-02
       3800  6.76953e-01 -6.07027e+00  2.73977e-01
       3900  6.94531e-01 -6.13632e+00 -1.75892e-01
       4000  6.67578e-01 -6.07266e+00  3.49452e-01
       4100  6.92969e-01 -6.13361e+00 -2.64173e-01
       4200  6.72656e-01 -6.17685e+00 -3.25395e-01
       4300  6.80078e-01 -6.11974e+00 -1.17660e-02
       4400  6.69531e-01 -6.05057e+00  2.79892e-01
       4500  6.78125e-01 -6.16239e+00 -2.86543e-01
       4600  6.65234e-01 -6.10970e+00  7.30059e-02
       4700  6.87109e-01 -6.13821e+00 -1.45272e-01
       4800  6.83594e-01 -6.15231e+00 -2.02745e-01
       4900  6.74219e-01 -6.18657e+00 -3.23237e-01
       5000  6.66406e-01 -6.03986e+00  3.83220e-01
